Indicator ,URL,Source ,Title ,Abstract,Category ,Year 
acc_n_e_s_c_n_sw_ne,"
https://cbs.gov.np/wp-content/upLoads/2021/01/National-Economic-Census-2018-Ward-Profile-No.2.xlsx","National Economic Census 2018, CBS",National Economic Census Establishments and No of People Involved - Social_Work_NE,"All the establishments engaged in non-agriculture economic activities and (registered) agriculture, forestry and fishery economic activities according to NSIC-2018, except Section-O (Public administration and defense; compulsory social security), Section-T (Activities of households as employers; undifferentiated goods- and services- producing activities of households for own use) and Section-U (Activities of extraterritorial organizations and bodies), were included in the scope of National Economic Census 2018.",Development ,2018
acc_n_e_s_c_n_re_ne,"
https://cbs.gov.np/wp-content/upLoads/2021/01/National-Economic-Census-2018-Ward-Profile-No.2.xlsx","National Economic Census 2018, CBS",National Economic Census Establishments and No of People Involved -Real_Eastate_NE,"All the establishments engaged in non-agriculture economic activities and (registered) agriculture, forestry and fishery economic activities according to NSIC-2018, except Section-O (Public administration and defense; compulsory social security), Section-T (Activities of households as employers; undifferentiated goods- and services- producing activities of households for own use) and Section-U (Activities of extraterritorial organizations and bodies), were included in the scope of National Economic Census 2018.",Development ,2018
acc_com_w_a_f,,CBS,Access to communication-Without any facility,,Infrastrucuture ,
acc_com_television,,CBS,Access to communication-Television,,Infrastrucuture ,
acc_com_w_a_f,,CBS,Access to communication-At least one facility,,Infrastrucuture ,
acc_com_radio,,CBS,Access to communication-Radio,,Infrastrucuture ,
acc_com_telephone,,CBS,Access to communication-Telephone,,Infrastrucuture ,
acc_com_c_b_t,,CBS,Access to communication-Cable Television,,Infrastrucuture ,
acc_com_mb_ph,,CBS,Access to communication-Mobile Phone,,Infrastrucuture ,
acc_com_computer,,CBS,Access to communication-Computer,,Infrastrucuture ,
acc_com_internet,,CBS,Access to communication-Internet,,Infrastrucuture ,
acc_drin_tap_pi_wtr,,Ministry of Water Supply and Sanitation,Access to water-Tap piped water,,Infrastrucuture ,
acc_drin_tb_hd_pump,,Ministry of Water Supply and Sanitation,Access to water-Tube well hand pump,,Infrastrucuture ,
acc_co_wel_kuwa,,Ministry of Water Supply and Sanitation,"Access to water-Covered well,kuwa",,Infrastrucuture ,
acc_unco_wel_kuwa,,Ministry of Water Supply and Sanitation,"Access to water-Uncovered well, kuwa",,Infrastrucuture ,
