Province,District ,Name of municipalities,Total,Without any facility,At least one facility,Radio,Television,Cable television,computer,internet,Tele phone ,Mobile phone
Province 1,Ilam,Suryodaya Municipality,"13,211",989,"12,096","9,043","7,322","2,122",353,60,611,"9,705"
Province 1,Jhapa,Arjundhara Municipality,"13,623",753,"12,824","7,465","9,360","1,753",804,251,834,"10,668"
Province 1,Jhapa,Barhadashi Gaunpalika,"7,398",641,"6,670","3,864","3,496",104,156,32,71,"4,938"
Province 1,Jhapa,Bhadrapur Municipality,"15,270",862,"14,334","7,853","10,835","3,628","1,469",574,"2,217","10,896"
Province 1,Jhapa,Birtamod Municipality,"19,118",892,"18,145","9,662","12,263","6,843","2,624",957,"2,401","15,447"
Province 1,Jhapa,Buddhashanti Gaunpalika,"9,498",580,"8,775","5,941","6,479","1,037",496,255,546,"7,574"
Province 1,Jhapa,Damak Municipality,"18,104",878,"17,167","9,849","12,333","6,689","2,357",805,"3,169","15,344"
Province 1,Jhapa,Gauradaha Municipality,"12,070","1,013","11,037","6,138","7,340",382,319,107,431,"8,520"
Province 1,Jhapa,Gauriganj Gaunpalika,"7,140",815,"6,312","2,743","2,480",341,122,32,99,"3,707"
Province 1,Jhapa,Haldibari Gaunpalika,"6,415",294,"6,100","3,626","4,228",187,203,58,106,"4,735"
Province 1,Jhapa,Jhapa Gaunpalika,"7,098","1,041","6,042","2,627","2,928",341,107,26,36,"4,097"
Province 1,Jhapa,Kachanakawal Gaunpalika,"8,742",850,"7,807","3,833","3,618",189,71,32,23,"4,356"
Province 1,Jhapa,Kamal Gaunpalika,"10,256",634,"9,527","5,242","6,717","1,119",450,108,514,"8,203"
Province 1,Jhapa,Kankai Municipality,"9,426",737,"8,674","5,418","6,636","1,240",658,238,887,"7,131"
Province 1,Jhapa,Mechinagar Municipality,"25,531","1,871","23,490","12,311","17,223","5,245","1,715",594,"2,433","18,803"
Province 1,Jhapa,Shivasatakshi Municipality,"14,695",991,"13,631","8,084","9,619",946,565,154,690,"11,406"
Province 1,Morang,Belbari Municipality,"15,338","1,141","14,076","6,629","9,479","1,597",653,169,694,"11,205"
Province 1,Morang,Biratnagar Metropolitian City,"47,798","2,574","44,773","21,535","14,410","21,869","8,455","4,246","9,897","36,649"
Province 1,Morang,Budhiganga Gaunpalika,"9,621",865,"8,699","3,297","5,321","1,341",382,86,571,"5,656"
Province 1,Morang,Dhanapalthan Gaunpalika,"7,957",961,"6,912","2,057","3,082",376,75,7,74,"3,636"
Province 1,Morang,Gramthan Gaunpalika,"7,920",449,"7,437","2,792","3,783",834,168,39,87,"4,474"
Province 1,Morang,Jahada Gaunpalika,"8,175",916,"7,220","1,485","1,950",264,67,10,19,"3,031"
Province 1,Morang,Kanepokhari Gaunpalika,"8,683",876,"7,728","3,574","4,639",516,165,60,117,"6,291"
Province 1,Morang,Katahari Gaunpalika,"8,009",746,"7,201","2,781","3,497",780,130,59,122,"4,489"
Province 1,Morang,Kerabari Gaunpalika,"6,991","1,091","5,848","3,831","2,530",539,141,23,150,"4,764"
Province 1,Morang,Letang Municipality,"7,339",917,"6,364","3,954","2,865","1,440",370,77,645,"5,406"
Province 1,Morang,Miklajung Gaunpalika,"6,417",836,"5,523","3,292","1,859",566,170,33,168,"4,673"
Province 1,Morang,Pathari Shanishchare Municipality,"13,956","1,031","12,779","5,901","7,558","1,756",755,144,874,"11,011"
Province 1,Morang,Rangeli Municipality,"11,249","1,718","9,483","3,539","5,094",870,112,52,440,"6,215"
Province 1,Morang,Ratuwamai Municipality,"12,482","1,430","10,907","3,919","5,796",192,178,37,250,"7,555"
Province 1,Morang,Sundarharaicha Municipality,"18,610","1,136","17,261","8,282","12,620","1,686","1,122",290,"1,376","14,352"
Province 1,Morang,Sunwarshi Municipality,"10,795","1,762","8,975","2,432","4,400",220,97,11,121,"5,803"
Province 1,Morang,Urlabari Municipality,"12,530",740,"11,732","5,808","8,449","1,719",886,237,"1,266","9,821"
Province 1,Sunsari,Baraha Municipality,"17,552","1,840","15,544","7,522","9,722","1,401",414,78,386,"12,272"
Province 1,Sunsari,Barju Gaunpalika,"6,253",672,"5,553","2,075","2,606",728,48,4,63,"3,432"
Province 1,Sunsari,Bhokraha Gaunpalika,"6,798","1,112","5,630","1,854","1,518",105,58,10,39,"3,926"
Province 1,Sunsari,Dewangunj Gaunpalika,"6,361",881,"5,450","1,759","1,156",213,47,8,82,"3,082"
Province 1,Sunsari,Dharan Sub-Metropolitian City,"32,693","2,010","30,389","14,135","18,509","14,818","4,589","1,575","7,682","26,355"
Province 1,Sunsari,Duhabi Municipality,"11,893","1,132","10,699","4,020","6,550","1,877",391,128,454,"7,876"
Province 1,Sunsari,Gadhi Gaunpalika,"7,039",809,"6,164","2,344","2,924",542,129,15,70,"3,740"
Province 1,Sunsari,Harinagara Gaunpalika,"6,842",902,"5,871","1,806","1,391",110,80,8,39,"3,505"
Province 1,Sunsari,Inaruwa Municipality,"13,020",990,"11,975","5,738","7,447","2,348",746,313,"1,259","9,345"
Province 1,Sunsari,Itahari Sub-Metropolitian City,"33,794","1,473","31,998","13,591","24,477","8,195","3,786","1,014","4,261","27,584"
Province 1,Sunsari,Koshi Gaunpalika,"8,543","2,554","5,961","2,419","1,369",256,52,4,43,"3,696"
Province 1,Sunsari,Ramdhuni Municipality,"11,491",795,"10,648","4,225","7,684",954,401,77,409,"7,949"
Province 1,Dhankuta,Chaubise Gaunpalika,"4,542",684,"3,808","2,952","1,191",117,76,14,51,"3,198"
Province 1,Dhankuta,Chhathar Jorpati Gaunpalika,"4,232",540,"3,643","2,483","1,729",216,69,32,87,"3,334"
Province 1,Dhankuta,Dhankuta Municipality,"9,460",587,"8,763","6,110","5,618","2,123",832,370,"1,238","8,005"
Province 1,Dhankuta,Khalsa Chhintang Sahidbhumi Gaunpalika,"3,876",702,"3,129","2,178","1,121",60,28,6,70,"2,521"
Province 1,Dhankuta,Mahalaxmi Municipality,"5,482",803,"4,625","2,964","1,796",256,53,22,181,"4,081"
Province 1,Dhankuta,Pakhribas Municipality,"4,977",545,"4,375","3,379","2,063",335,113,39,147,"3,783"
Province 1,Dhankuta,Sangurigadhi Gaunpalika,"5,047",899,"4,111","2,868","1,563",133,66,16,70,"3,598"
Province 1,Terhathum,Aatharai Gaunpalika,"4,578",830,"3,630","3,057",363,35,15,1,80,"2,551"
Province 1,Terhathum,Chhathar Gaunpalika,"3,636",490,"3,097","2,325","1,188",26,38,10,48,"2,361"
Province 1,Terhathum,Laligurans Municipality,"3,677",427,"3,198","2,160","1,608",314,80,42,116,"2,873"
Province 1,Terhathum,Menchhayayem Gaunpalika,"1,794",289,"1,457","1,187",281,73,21,6,48,"1,106"
Province 1,Terhathum,Myanglung Municipality,"4,595",371,"4,180","3,199","2,168","1,196",202,99,495,"3,630"
Province 1,Terhathum,Phedap Gaunpalika,"3,804",602,"3,166","2,601",546,31,25,4,30,"2,606"
Province 1,Sankhuwasabha,Bhotkhola Gaunpalika,"1,379",604,771,621,23,0,0,0,2,329
Province 1,Sankhuwasabha,Chainapur Municipality,"5,938",883,"4,966","3,826","1,220",471,171,51,289,"4,108"
Province 1,Sankhuwasabha,Chichila Gaunpalika,"1,518",303,"1,187","1,027",57,6,5,0,59,813
Province 1,Sankhuwasabha,Dharmadevi Municipality,"3,958",614,"3,309","2,306","1,146",90,57,8,151,"2,856"
Province 1,Sankhuwasabha,Khandabari Municipality,"7,446",870,"6,405","4,658","1,927","1,698",472,179,913,"5,151"
Province 1,Sankhuwasabha,Madi Municipality,"3,216",373,"2,792","2,130",836,171,39,7,149,"2,364"
Province 1,Sankhuwasabha,Makalu Gaunpalika,"2,922",640,"2,255","1,920",53,6,6,0,26,"1,344"
Province 1,Sankhuwasabha,Panchakhapan Municipality,"3,634",788,"2,828","2,164",402,56,26,5,45,"2,315"
Province 1,Sankhuwasabha,Sabhapokhari Gaunpalika,"2,192",449,"1,715","1,491",112,46,13,20,49,"1,226"
Province 1,Sankhuwasabha,Silichong Gaunpalika,"2,412",592,"1,709","1,525",26,1,2,0,65,891
Province 1,Bhojpur,Aamchowk Gaunpalika,"3,677","1,087","2,589","2,141",148,5,4,0,33,"1,421"
Province 1,Bhojpur,Arun Gaunpalika,"3,782",741,"3,023","2,350",290,16,9,4,23,"2,359"
Province 1,Bhojpur,Bhojpur Municipality,"6,438","1,008","5,372","4,291","1,596",298,174,139,538,"4,263"
Province 1,Bhojpur,Hatuwagadhi Gaunpalika,"4,579","1,309","3,108","2,367",251,4,11,2,99,"2,115"
Province 1,Bhojpur,Pauwa Dunma Gaunpalika,"3,280",746,"2,517","2,035",110,2,11,3,59,"1,920"
Province 1,Bhojpur,Ramprasad Rai Gaunpalika,"4,016",952,"2,942","2,414",173,7,3,7,44,"2,128"
Province 1,Bhojpur,Salpa Silichho Gaunpalika,"2,728",720,"1,996","1,740",65,7,9,0,101,"1,124"
Province 1,Bhojpur,Shadananda Municipality,"6,832","1,416","5,367","4,481",630,89,66,15,95,"3,859"
Province 1,Bhojpur,Tyamke Maiyum Gaunpalika,"4,061",935,"3,068","2,507",300,8,6,7,25,"2,233"
Province 1,Solukhumbu,Dhudha Koushika Gaunpalika,"4,240","1,167","3,015","2,772",178,6,14,4,69,"1,592"
Province 1,Solukhumbu,Dhudhakoshi Gaunpalika,"2,803",675,"2,082","1,879",106,25,11,2,64,"1,078"
Province 1,Solukhumbu,Khumbu Pasanglhamu Gaunpalika,"2,433",390,"2,018","1,445",454,677,121,82,349,"1,414"
Province 1,Solukhumbu,Likhu Pike Gaunpalika,"1,168",146,"1,011",971,119,5,0,0,47,536
Province 1,Solukhumbu,Mahakulung Gaunpalika,"2,450",640,"1,796","1,680",33,9,2,0,30,855
Province 1,Solukhumbu,Necha Salyan Gaunpalika,"3,636",737,"2,804","2,601",230,12,11,5,105,"1,673"
Province 1,Solukhumbu,Solu Dhudhakunda Municipality,"4,980",580,"4,346","3,791",672,469,180,71,529,"2,794"
Province 1,Solukhumbu,Sotang Gaunpalika,"2,048",441,"1,599","1,536",49,1,3,1,49,603
Province 1,Okhaldhunga,Champadevi Gaunpalika,"3,796","1,026","2,707","2,609",89,3,3,0,20,870
Province 1,Okhaldhunga,Chishankhu Gadhi Gaunpalika,"3,334",616,"2,605","2,454",76,5,3,0,57,"1,419"
Province 1,Okhaldhunga,Khiji Demba Gaunpalika,"3,111",509,"2,469","2,276",189,5,11,0,29,"1,206"
Province 1,Okhaldhunga,Likhu Gaunpalika,"2,957",690,"2,243","2,037",122,8,7,3,65,"1,241"
Province 1,Okhaldhunga,Manebhanjyang Gaunpalika,"4,618","1,212","3,230","2,914",302,27,18,5,187,"1,554"
Province 1,Okhaldhunga,Molung Gaunpalika,"3,669",699,"2,918","2,650",143,8,6,0,64,"1,693"
Province 1,Okhaldhunga,Siddhicharan Municipality,"6,994","1,209","5,637","4,896",580,718,176,92,671,"3,842"
Province 1,Okhaldhunga,Sunkoshi Gaunpalika,"3,987",979,"2,906","2,542",166,8,5,53,34,"2,083"
Province 1,Khotang,Aiselukharka Gaunpalika,"3,491",927,"2,524","2,394",99,6,10,0,134,884
Province 1,Khotang,Baraha Pokhari Gaunpalika,"2,702",952,"1,715","1,465",97,1,0,2,88,821
Province 1,Khotang,Diprung Gaunpalika,"4,140","1,052","3,038","2,749",129,8,6,0,197,"1,440"
Province 1,Khotang,Halesi Tuwachung Municipality,"5,838","1,697","4,025","3,478",453,20,41,7,126,"2,128"
Province 1,Khotang,Jante Dhunga Gaunpalika,"3,175",919,"2,097","1,912",81,2,3,1,93,956
Province 1,Khotang,Kepilasgadhi Gaunpalika,"3,347","1,372","1,859","1,689",102,22,6,0,84,696
Province 1,Khotang,Khotehang Gaunpalika,"4,703","1,370","3,221","2,903",419,38,34,3,213,"1,632"
Province 1,Khotang,Lamidanda Gaunpalika,"2,793",708,"2,012","1,790",146,65,20,5,60,"1,282"
Province 1,Khotang,Rupakot Majhuwagadhi Municipality,"10,050","1,743","8,051","6,650","2,416",790,355,102,578,"6,385"
Province 1,Khotang,Sakela Gaunpalika,"2,408",356,"1,952","1,760",86,11,4,6,60,"1,258"
Province 1,Udayapur,Belaka Municipality,"8,930","1,681","7,152","4,139","2,119",52,53,10,114,"5,983"
Province 1,Udayapur,Chaudandigadhi Municipality,"10,519","1,517","8,902","4,736","4,598",437,227,29,416,"7,440"
Province 1,Udayapur,Katari Municipality,"11,717","2,848","8,780","5,068","2,255","1,274",189,39,496,"6,588"
Province 1,Udayapur,Rautamai Gaunpalika,"4,666","1,693","2,938","2,219",194,274,29,1,202,"1,593"
Province 1,Udayapur,Sunkoshi Gaunpalika,"2,316",817,"1,472","1,326",52,0,3,1,30,776
Province 1,Udayapur,Tapli Gaunpalika,"2,703",956,"1,700","1,564",42,1,3,0,47,660
Province 1,Udayapur,Triyuga Municipality,"19,484","2,418","16,874","8,312","7,137","4,138",970,218,"1,164","14,594"
Province 1,Udayapur,Udayapurgadhi Gaunpalika,"6,179","2,000","4,105","2,906",351,18,23,2,56,"2,944"
Province 2,Saptari,Agmisair Krishna Sabaran Gaunpalika,"5,422","1,250","4,138","1,870","1,824",139,75,3,78,"2,732"
Province 2,Saptari,Balan-Bihul Gaunpalika,"3,976",926,"2,963","1,917",140,2,7,4,15,"1,640"
Province 2,Saptari,Belhi Chapena Gaunpalika,"5,242",828,"4,330","2,192",929,43,15,1,12,"2,344"
Province 2,Saptari,Bishnupur Gaunpalika,"4,370",833,"3,482","1,528","1,397",166,42,9,50,"2,351"
Province 2,Saptari,Bode Barsain Municipality,"8,022","1,541","6,132","3,124","1,396",26,45,5,12,"3,780"
Province 2,Saptari,Chhinnamasta Gaunpalika,"5,439","1,607","3,675","1,720",906,56,32,4,12,"2,097"
Province 2,Saptari,Dakneshwori Municipality,"8,149","1,635","6,263","3,138","1,364",23,59,3,45,"4,081"
Province 2,Saptari,Hanumannagar Kankalini Municipality,"8,152","1,900","5,931","3,108","1,840",169,76,14,136,"3,378"
Province 2,Saptari,Kanchanrup Municipality,"10,192","1,925","8,000","3,787","4,084",538,149,19,396,"5,189"
Province 2,Saptari,Khadak Municipality,"8,615","1,302","7,159","2,520","3,034",171,121,17,101,"5,208"
Province 2,Saptari,Mahadewa Gaunpalika,"5,395","1,399","3,930","1,508","1,099",91,36,5,21,"2,154"
Province 2,Saptari,Rajbiraj Municipality,"13,350","1,538","11,587","6,661","5,006","2,722",925,254,"1,372","8,453"
Province 2,Saptari,Rupani Gaunpalika,"5,012",988,"3,977","1,636","1,445",68,44,6,32,"2,853"
Province 2,Saptari,Saptakoshi Municipality,"4,539",888,"3,595","1,481","2,062",315,81,9,156,"2,621"
Province 2,Saptari,Shambhunath Municipality,"6,764",971,"5,662","2,471","2,416",132,89,7,32,"4,098"
Province 2,Saptari,Surunga Municipality,"8,650","1,400","7,100","3,588","2,103",73,76,5,45,"5,072"
Province 2,Saptari,Tilathi Koiladi Gaunpalika,"5,697","1,596","4,003","1,894","1,495",83,51,8,44,"2,158"
Province 2,Saptari,Tirahut Gaunpalika,"4,078",943,"3,006","1,498",613,17,18,3,24,"1,691"
Province 2,Siraha,Arnama Gaunpalika,"4,047",968,"2,921","1,413",961,31,19,1,24,"2,107"
Province 2,Siraha,Aurahi Gaunpalika,"4,245",930,"3,179","1,982",206,9,4,0,24,"1,866"
Province 2,Siraha,Bariyarpatti Gaunpalika,"4,264",810,"3,376","1,747",686,51,18,0,27,"2,413"
Province 2,Siraha,Bhagawanpur Gaunpalika,"3,661",893,"2,665","1,221",839,23,20,2,9,"1,601"
Province 2,Siraha,Bishnupur Gaunpalika,"3,469",797,"2,647","1,151","1,221",33,30,4,32,"2,212"
Province 2,Siraha,Dhangadhimai Municipality,"8,757","1,528","6,982","3,629","3,126",124,113,14,68,"4,843"
Province 2,Siraha,Golbazar Municipality,"10,110","1,937","7,956","3,616","3,475",863,204,31,198,"5,322"
Province 2,Siraha,Kalyanpur Municipality,"9,391","1,843","7,353","3,464","4,250",161,94,10,97,"5,906"
Province 2,Siraha,Karjanha Municipality,"6,088","1,580","4,480","1,925","2,684",356,81,9,45,"3,933"
Province 2,Siraha,Lahan Municipality,"17,182","2,238","14,498","6,776","7,325","1,674",696,131,725,"10,317"
Province 2,Siraha,Laxmipur Patari Gaunpalika,"4,830","1,085","3,672","1,505","1,198",39,33,3,21,"2,313"
Province 2,Siraha,Mirchaiya Municipality,"9,333","1,400","7,789","3,232","4,019",867,172,82,311,"6,022"
Province 2,Siraha,Naraha Gaunpalika,"3,673","1,039","2,568","1,076","1,246",84,58,10,37,"2,012"
Province 2,Siraha,Nawarajpur Gaunpalika,"3,280",774,"2,414",906,669,38,14,2,8,"1,450"
Province 2,Siraha,Sakhuwa Nankarkatti Gaunpalika,"3,388",930,"2,418",977,946,35,30,1,19,"1,079"
Province 2,Siraha,Siraha Municipality,"15,477","2,792","12,392","6,374","7,543","1,168",305,72,430,"9,763"
Province 2,Siraha,Sukhipur Municipality,"6,734","1,601","4,994","2,011","1,517",144,50,7,59,"3,384"
Province 2,Dhanusa,Aurahi Gaunpalika,"4,003",514,"3,353","1,626","1,174",118,26,3,73,"2,642"
Province 2,Dhanusa,Bateshwor Gaunpalika,"3,671",780,"2,785","1,479","1,275",70,32,2,72,"2,036"
Province 2,Dhanusa,Bideha Municipality,"5,817",907,"4,288","2,590","1,651",159,47,6,88,"3,011"
Province 2,Dhanusa,Chhireshwornath Municipality,"7,775","1,170","6,404","3,420","3,692",657,176,43,305,"5,201"
Province 2,Dhanusa,Dhanauji Gaunpalika,"3,717",697,"2,909","1,548","1,804",214,28,6,108,"1,936"
Province 2,Dhanusa,Dhanushadham Municipality,"8,715","1,484","7,084","3,641","3,978",391,106,16,183,"5,969"
Province 2,Dhanusa,Ganeshman Charnath Municipality,"7,037","1,280","5,633","2,864","2,752",358,68,9,98,"4,785"
Province 2,Dhanusa,Hansapur Municipality,"6,912","1,184","5,538","2,531","2,342",415,49,4,72,"4,479"
Province 2,Dhanusa,Janak Nandini Gaunpalika,"4,461",964,"3,264","1,491","1,192",138,32,7,47,"2,794"
Province 2,Dhanusa,Janakpur Sub-Metropolitian City,"30,589","2,821","27,232","13,894","16,284","12,738","2,666",706,"4,069","23,068"
Province 2,Dhanusa,Kamala Municipality,"6,999","1,581","5,181","2,571","1,324",59,29,4,35,"4,128"
Province 2,Dhanusa,Laxminiya Gaunpalika,"4,995",548,"4,373","2,028","2,530",865,73,9,101,"3,430"
Province 2,Dhanusa,Mithila Bihari Municipality,"6,066",739,"5,074","2,235","2,393",480,57,5,75,"4,309"
Province 2,Dhanusa,Mithila Municipality,"8,229","1,050","7,000","4,315","3,598",899,169,16,221,"5,471"
Province 2,Dhanusa,Mukhiyapatti Musaharmiya Gaunpalika,"4,130",603,"3,434","1,874","1,019",188,62,10,73,"2,710"
Province 2,Dhanusa,Nagarain Municipality,"6,365","1,058","5,200","2,625","2,578",230,74,7,155,"4,114"
Province 2,Dhanusa,Sabaila Municipality,"10,073","1,482","8,407","3,974","4,503","1,146",85,14,153,"6,939"
Province 2,Dhanusa,Shahidnagar Municipality,"8,671","1,283","7,163","3,985","3,507",423,75,10,127,"5,891"
Province 2,Mahottari,Aurahi Municipality,"5,822","1,667","4,113","2,073","1,618",273,52,2,131,"2,268"
Province 2,Mahottari,Balawa Municipality,"7,661","1,568","5,934","2,477","2,919",289,67,19,130,"3,902"
Province 2,Mahottari,Bardibas Municipality,"13,113","2,186","10,819","5,972","3,720","2,118",311,63,556,"7,895"
Province 2,Mahottari,Bhangaha Municipality,"8,560","2,507","5,919","2,923","2,255",278,50,7,117,"4,128"
Province 2,Mahottari,Ekadara Gaunpalika,"4,809","1,100","3,660","1,415","1,356",166,45,7,56,"2,721"
Province 2,Mahottari,Gaushala Municipality,"11,893","2,398","9,236","4,421","3,648",350,104,18,255,"5,562"
Province 2,Mahottari,Jaleshwor Municipality,"10,034","1,752","8,099","3,675","4,369","1,212",234,62,391,"6,009"
Province 2,Mahottari,Loharpatti Municipality,"7,317","1,219","6,053","3,147","3,245",450,99,12,148,"4,587"
Province 2,Mahottari,Mahottari Gaunpalika,"4,861","1,143","3,672","1,583","1,907",69,34,14,35,"2,369"
Province 2,Mahottari,Manara Shisawa Municipality,"8,532","2,115","6,154","2,715","2,676",656,83,9,84,"4,187"
Province 2,Mahottari,Matihani Municipality,"5,226","1,198","3,959","1,092","1,542",440,64,5,129,"2,793"
Province 2,Mahottari,Pipara Gaunpalika,"6,490","1,320","4,997","2,125","2,933",448,101,17,113,"3,137"
Province 2,Mahottari,Ram Gopalpur Municipality,"5,257","1,555","3,595","1,397","1,303",163,31,7,110,"2,465"
Province 2,Mahottari,Samsi Gaunpalika,"5,382","2,245","3,073","1,375",874,108,27,3,49,"1,804"
Province 2,Mahottari,Sonama Gaunpalika,"6,341","1,343","4,822","2,486","1,156",120,37,4,94,"2,939"
Province 2,Sarlahi,Bagmati Municipality,"7,984","1,299","6,534","3,706","3,017",694,116,23,77,"4,242"
Province 2,Sarlahi,Balara Municipality,"7,693","2,335","5,248","2,633","1,188",114,50,6,43,"3,032"
Province 2,Sarlahi,Barahathawa Municipality,"11,853","2,253","9,410","5,391","3,568",759,151,32,288,"6,105"
Province 2,Sarlahi,Basbariya Gaunpalika,"3,699","1,133","2,527","1,190",522,12,31,6,31,"1,443"
Province 2,Sarlahi,Bishnu Gaunpalika,"4,008",920,"2,994","1,725",200,6,13,4,25,"1,781"
Province 2,Sarlahi,Brahmapuri Gaunpalika,"4,735","1,120","3,351","1,423","1,051",71,27,7,45,"1,954"
Province 2,Sarlahi,Chakraghatta Gaunpalika,"4,409","1,417","2,919","1,135",927,53,27,6,23,"1,414"
Province 2,Sarlahi,Chandranagar Gaunpalika,"5,540","1,610","3,774","1,120","1,339",72,29,1,42,"2,243"
Province 2,Sarlahi,Dhanakaul Gaunpalika,"3,964",785,"3,071","1,831",178,6,17,22,9,"1,884"
Province 2,Sarlahi,Godaita Municipality,"7,902","2,110","5,620","2,807","1,259",68,53,12,33,"3,119"
Province 2,Sarlahi,Haripur Municipality,"6,517","1,393","4,992","2,136","2,324",269,73,22,62,"3,462"
Province 2,Sarlahi,Haripurwa Municipality,"5,904","1,703","4,129","1,984","1,369",64,40,5,43,"2,362"
Province 2,Sarlahi,Hariwan Municipality,"8,601",940,"7,493","3,974","4,163","1,725",273,91,317,"5,219"
Province 2,Sarlahi,Ishworpur Municipality,"11,073","1,817","8,992","4,503","4,160",864,130,15,188,"5,982"
Province 2,Sarlahi,Kabilashi Municipality,"6,871","2,103","4,547","1,657","1,998",209,54,5,98,"2,799"
Province 2,Sarlahi,Kaudena Gaunpalika,"4,073",915,"3,101","1,621","1,194",60,30,3,58,"1,569"
Province 2,Sarlahi,Lalbandi Municipality,"12,238","1,609","10,488","5,991","3,973","2,593",444,96,648,"7,926"
Province 2,Sarlahi,Malangawa Municipality,"7,912","1,171","6,573","2,339","3,331","2,295",389,128,565,"4,974"
Province 2,Sarlahi,Parsa Gaunpalika,"3,342",978,"2,307","1,184",868,180,24,1,40,"1,560"
Province 2,Sarlahi,Ramnagar Gaunpalika,"4,485",886,"3,450","1,966",408,17,27,6,17,"2,344"
Province 2,Rautahat,Boudhimai Municipality,"4,807",434,"4,159","1,670",698,55,54,1,42,"2,394"
Province 2,Rautahat,Brindaban Municipality,"6,374",984,"5,078","2,091","1,305",59,41,8,65,"2,880"
Province 2,Rautahat,Chandrapur Municipality,"13,445","1,526","11,326","5,766","6,870","1,520",349,77,504,"7,417"
Province 2,Rautahat,Dewahi Gonahi Municipality,"4,691","1,254","3,346","1,534",601,20,25,6,28,"2,016"
Province 2,Rautahat,Durga Bhagawati Gaunpalika,"3,812",847,"2,900","1,978","1,101",111,40,11,37,"1,912"
Province 2,Rautahat,Gadhimai Municipality,"6,069","1,530","4,422","2,347",891,67,33,7,23,"2,246"
Province 2,Rautahat,Garuda Municipality,"7,444","1,290","5,972","2,501","2,137",219,87,15,155,"3,758"
Province 2,Rautahat,Gaur Municipality,"5,635",618,"4,825","2,374","2,343","1,282",246,73,469,"3,358"
Province 2,Rautahat,Gujara Municipality,"7,391","1,137","5,961","2,667","1,664",222,54,3,36,"3,130"
Province 2,Rautahat,Ishanath Municipality,"5,834","1,236","4,343","2,154",825,131,31,9,33,"2,939"
Province 2,Rautahat,Katahariya Municipality,"5,919",764,"4,954","2,340",989,113,59,7,44,"2,759"
Province 2,Rautahat,Madhav Narayan Municipality,"5,479",912,"4,202","1,738",723,23,31,3,22,"2,138"
Province 2,Rautahat,Maulapur Municipality,"3,830",411,"3,344","1,555",505,18,15,2,14,"1,687"
Province 2,Rautahat,Paroha Municipality,"5,380","1,109","4,089","1,632",787,32,36,7,21,"2,420"
